=== ASN信息获取汇总 ===
获取时间: 2026-05-16 02:13:56
==================================================

CN: 5224 个ASN
HK: 787 个ASN
MO: 11 个ASN
TW: 302 个ASN
PH: 462 个ASN
VN: 542 个ASN
LA: 29 个ASN
KH: 102 个ASN
TH: 479 个ASN
MM: 130 个ASN
JP: 741 个ASN
KR: 881 个ASN
KP: 1 个ASN
MN: 50 个ASN
SG: 455 个ASN
MY: 272 个ASN
ID: 2855 个ASN
BN: 7 个ASN
TL: 12 个ASN
IN: 2919 个ASN
PK: 309 个ASN
BD: 1535 个ASN
LK: 22 个ASN
NP: 148 个ASN
BT: 26 个ASN
MV: 15 个ASN
DE: 2538 个ASN
FR: 1524 个ASN
GB: 2308 个ASN
IE: 210 个ASN
IT: 1115 个ASN
ES: 963 个ASN
PT: 135 个ASN
NL: 1100 个ASN
BE: 294 个ASN
LU: 107 个ASN
CH: 782 个ASN
AT: 642 个ASN
DK: 349 个ASN
SE: 672 个ASN
NO: 308 个ASN
FI: 307 个ASN
IS: 71 个ASN
PL: 2151 个ASN
CZ: 603 个ASN
HU: 243 个ASN
GR: 228 个ASN
RU: 5021 个ASN
UA: 1580 个ASN
BY: 108 个ASN
RO: 935 个ASN
BG: 674 个ASN
RS: 164 个ASN
HR: 146 个ASN
SI: 272 个ASN
SK: 201 个ASN
BA: 46 个ASN
ME: 23 个ASN
MK: 60 个ASN
AL: 123 个ASN
LT: 187 个ASN
LV: 256 个ASN
EE: 176 个ASN
MD: 131 个ASN
CY: 133 个ASN
MT: 42 个ASN
TR: 852 个ASN
SA: 171 个ASN
AE: 148 个ASN
QA: 19 个ASN
KW: 73 个ASN
BH: 18 个ASN
OM: 17 个ASN
YE: 3 个ASN
JO: 48 个ASN
IL: 322 个ASN
PS: 43 个ASN
LB: 144 个ASN
SY: 7 个ASN
IQ: 152 个ASN
IR: 582 个ASN
AF: 61 个ASN
KZ: 211 个ASN
UZ: 100 个ASN
TM: 7 个ASN
KG: 58 个ASN
TJ: 34 个ASN
GE: 144 个ASN
AM: 120 个ASN
AZ: 92 个ASN
AU: 1698 个ASN
NZ: 433 个ASN
PG: 29 个ASN
FJ: 14 个ASN
SB: 10 个ASN
VU: 11 个ASN
WS: 7 个ASN
TO: 4 个ASN
US: 19015 个ASN
CA: 1651 个ASN
MX: 528 个ASN
BR: 8808 个ASN
AR: 1089 个ASN
CL: 328 个ASN
CO: 402 个ASN
PE: 186 个ASN
VE: 198 个ASN
EC: 226 个ASN
BO: 56 个ASN
PY: 94 个ASN
UY: 33 个ASN
GT: 64 个ASN
BZ: 21 个ASN
SV: 40 个ASN
HN: 98 个ASN
NI: 25 个ASN
CR: 82 个ASN
PA: 96 个ASN
CU: 3 个ASN
BS: 10 个ASN
JM: 9 个ASN
HT: 5 个ASN
DO: 187 个ASN
EG: 72 个ASN
LY: 24 个ASN
DZ: 10 个ASN
MA: 28 个ASN
SD: 9 个ASN
ET: 6 个ASN
SO: 20 个ASN
KE: 210 个ASN
TZ: 99 个ASN
ZA: 658 个ASN
NG: 227 个ASN
GH: 94 个ASN
CI: 19 个ASN
SN: 14 个ASN
CM: 20 个ASN
AO: 63 个ASN
ZM: 19 个ASN
ZW: 28 个ASN

总计: 85750 个ASN记录
成功获取: 141 个国家
失败或无数据: 0 个国家
