=== ASN信息获取汇总 ===
获取时间: 2026-05-25 02:44:58
==================================================

CN: 5225 个ASN
HK: 790 个ASN
MO: 11 个ASN
TW: 303 个ASN
PH: 462 个ASN
VN: 544 个ASN
LA: 29 个ASN
KH: 102 个ASN
TH: 479 个ASN
MM: 130 个ASN
JP: 742 个ASN
KR: 880 个ASN
KP: 1 个ASN
MN: 50 个ASN
SG: 456 个ASN
MY: 273 个ASN
ID: 2858 个ASN
BN: 7 个ASN
TL: 12 个ASN
IN: 2922 个ASN
PK: 309 个ASN
BD: 1545 个ASN
LK: 22 个ASN
NP: 149 个ASN
BT: 26 个ASN
MV: 15 个ASN
DE: 2543 个ASN
FR: 1524 个ASN
GB: 2317 个ASN
IE: 210 个ASN
IT: 1118 个ASN
ES: 967 个ASN
PT: 135 个ASN
NL: 1105 个ASN
BE: 295 个ASN
LU: 107 个ASN
CH: 781 个ASN
AT: 643 个ASN
DK: 350 个ASN
SE: 672 个ASN
NO: 308 个ASN
FI: 307 个ASN
IS: 71 个ASN
PL: 2154 个ASN
CZ: 604 个ASN
HU: 244 个ASN
GR: 228 个ASN
RU: 5020 个ASN
UA: 1582 个ASN
BY: 108 个ASN
RO: 935 个ASN
BG: 674 个ASN
RS: 165 个ASN
HR: 146 个ASN
SI: 273 个ASN
SK: 201 个ASN
BA: 46 个ASN
ME: 23 个ASN
MK: 60 个ASN
AL: 124 个ASN
LT: 188 个ASN
LV: 257 个ASN
EE: 179 个ASN
MD: 137 个ASN
CY: 134 个ASN
MT: 42 个ASN
TR: 858 个ASN
SA: 171 个ASN
AE: 149 个ASN
QA: 19 个ASN
KW: 73 个ASN
BH: 18 个ASN
OM: 17 个ASN
YE: 3 个ASN
JO: 48 个ASN
IL: 325 个ASN
PS: 43 个ASN
LB: 144 个ASN
SY: 8 个ASN
IQ: 152 个ASN
IR: 581 个ASN
AF: 61 个ASN
KZ: 211 个ASN
UZ: 101 个ASN
TM: 7 个ASN
KG: 58 个ASN
TJ: 35 个ASN
GE: 144 个ASN
AM: 122 个ASN
AZ: 92 个ASN
AU: 1703 个ASN
NZ: 433 个ASN
PG: 29 个ASN
FJ: 14 个ASN
SB: 10 个ASN
VU: 11 个ASN
WS: 7 个ASN
TO: 4 个ASN
US: 19049 个ASN
CA: 1651 个ASN
MX: 529 个ASN
BR: 8812 个ASN
AR: 1091 个ASN
CL: 327 个ASN
CO: 403 个ASN
PE: 185 个ASN
VE: 197 个ASN
EC: 224 个ASN
BO: 56 个ASN
PY: 95 个ASN
UY: 34 个ASN
GT: 65 个ASN
BZ: 21 个ASN
SV: 40 个ASN
HN: 99 个ASN
NI: 25 个ASN
CR: 82 个ASN
PA: 96 个ASN
CU: 3 个ASN
BS: 10 个ASN
JM: 9 个ASN
HT: 5 个ASN
DO: 188 个ASN
EG: 72 个ASN
LY: 25 个ASN
DZ: 10 个ASN
MA: 28 个ASN
SD: 9 个ASN
ET: 6 个ASN
SO: 20 个ASN
KE: 213 个ASN
TZ: 99 个ASN
ZA: 658 个ASN
NG: 228 个ASN
GH: 94 个ASN
CI: 19 个ASN
SN: 14 个ASN
CM: 20 个ASN
AO: 63 个ASN
ZM: 19 个ASN
ZW: 28 个ASN

总计: 85891 个ASN记录
成功获取: 141 个国家
失败或无数据: 0 个国家
